Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2022-629903,04/08/2022,06/08/2022,Standard Class,OS-81426,Customer-430,Consumer,United States,Aurora,Colorado,38893,West,TEC-PH-8359,Technology,Phones,Motorola Edge,495.35,1,0.0,60.37
2,CA-2022-988662,23/04/2022,27/04/2022,Standard Class,GB-70217,Customer-550,Corporate,United States,West Valley City,Utah,26361,West,TEC-CO-7201,Technology,Computers,Apple MacBook Pro,5631.3,6,0.0,786.53
3,CA-2019-344098,13/06/2019,19/06/2019,Standard Class,JL-57819,Customer-167,Home Office,United States,Bloomington,Minnesota,58520,Central,TEC-CO-6820,Technology,Computers,Dell XPS Laptop,764.64,1,0.0,105.5
4,CA-2020-330283,07/03/2020,14/03/2020,Standard Class,VU-40021,Customer-33,Corporate,United States,Milwaukee,Wisconsin,51347,Central,TEC-CO-7572,Technology,Computers,Apple MacBook Pro,1164.69,2,0.3,231.56
5,CA-2020-712982,04/07/2020,06/07/2020,Standard Class,PJ-28131,Customer-522,Consumer,United States,Greensboro,North Carolina,74686,East,FUR-FU-2489,Furniture,Furnishings,Advantus Thumbtacks,36.68,1,0.1,2.8
6,CA-2019-112038,09/04/2019,11/04/2019,Standard Class,CX-44973,Customer-788,Corporate,United States,Worcester,Massachusetts,94012,East,FUR-CH-6573,Furniture,Chairs,Sauder Chair,717.38,1,0.1,134.23
7,CA-2019-982554,19/08/2019,23/08/2019,Standard Class,PD-31174,Customer-553,Consumer,United States,Macon,Georgia,79514,South,OFF-AP-1009,Office Supplies,Appliances,Cuisinart Coffeemaker,425.07,3,0.0,69.09
8,CA-2022-609597,13/05/2022,17/05/2022,Standard Class,ZN-26483,Customer-132,Home Office,United States,Miami,Florida,96474,South,OFF-AP-8787,Office Supplies,Appliances,Eureka Disposable,133.9,1,0.4,14.54
9,CA-2022-642717,01/02/2022,04/02/2022,Standard Class,GB-12757,Customer-603,Consumer,United States,Carmel,Indiana,82603,Central,TEC-AC-4770,Technology,Accessories,Belkin USB Hub,218.82,3,0.15,45.37
10,CA-2022-858490,22/04/2022,25/04/2022,First Class,OM-71993,Customer-417,Consumer,United States,Los Angeles,California,34957,West,OFF-EN-2545,Office Supplies,Envelopes,Kraft Clasp Envelopes,21.53,2,0.1,2.45
11,CA-2019-300896,20/07/2019,27/07/2019,Second Class,LK-46509,Customer-474,Consumer,United States,Chattanooga,Tennessee,42742,South,OFF-BI-2235,Office Supplies,Binders,Avery Heavy Duty Binder,47.7,1,0.2,6.72
12,CA-2021-272634,28/06/2021,04/07/2021,Standard Class,ZG-69638,Customer-293,Home Office,United States,San Jose,California,65444,West,OFF-AR-8973,Office Supplies,Art,Dixon Oriole Pencil,42.66,2,0.2,7.26
13,CA-2019-159642,16/11/2019,19/11/2019,First Class,CE-87992,Customer-70,Corporate,United States,Chicago,Illinois,98501,Central,FUR-BO-4853,Furniture,Bookcases,Bush Stackable Bookcase,236.87,1,0.3,-6.37
14,CA-2021-350280,08/04/2021,10/04/2021,Second Class,DQ-69929,Customer-324,Consumer,United States,Winston-Salem,North Carolina,19508,East,TEC-AC-1152,Technology,Accessories,SanDisk USB,375.18,2,0.0,90.65
15,CA-2021-837715,29/07/2021,04/08/2021,Standard Class,ZU-79329,Customer-9,Consumer,United States,San Jose,California,97538,West,TEC-MA-5905,Technology,Machines,Hoover Vacuum,991.24,4,0.0,152.03
16,CA-2022-994343,22/09/2022,24/09/2022,Second Class,MX-16658,Customer-95,Home Office,United States,Virginia Beach,Virginia,93136,East,OFF-ST-7939,Office Supplies,Storage,Fellowes Storage Drawer,57.91,1,0.0,5.72
17,CA-2020-824586,22/07/2020,24/07/2020,First Class,OV-86350,Customer-566,Corporate,United States,Salem,Oregon,29410,West,TEC-CO-8041,Technology,Copiers,Sharp Copier,2919.27,3,0.0,713.78
18,CA-2019-885884,21/09/2019,23/09/2019,Second Class,YW-33206,Customer-423,Home Office,United States,Detroit,Michigan,13248,Central,TEC-CO-3938,Technology,Computers,Dell XPS Laptop,907.07,1,0.3,206.25
19,CA-2020-933980,13/11/2020,18/11/2020,Standard Class,FR-62227,Customer-337,Corporate,United States,Norfolk,Virginia,46517,East,TEC-PH-2137,Technology,Phones,Cisco TelePresence,694.45,1,0.1,90.64
20,CA-2020-462479,27/07/2020,31/07/2020,Standard Class,IP-77033,Customer-119,Consumer,United States,Biloxi,Mississippi,60488,South,TEC-MA-4114,Technology,Machines,Epson Printer,986.84,2,0.0,127.95
21,CA-2020-795612,07/06/2020,09/06/2020,Standard Class,SH-50538,Customer-683,Home Office,United States,Fort Lauderdale,Florida,63528,South,FUR-TA-6344,Furniture,Tables,Bevis Folding Table,2006.96,2,0.3,-135.84
22,CA-2021-400850,06/04/2021,13/04/2021,Second Class,UP-52237,Customer-477,Consumer,United States,Fort Wayne,Indiana,67905,Central,FUR-FU-8244,Furniture,Furnishings,Advantus Thumbtacks,87.55,2,0.1,4.38
23,CA-2022-945742,17/10/2022,20/10/2022,Second Class,AG-72277,Customer-626,Corporate,United States,Lexington,Kentucky,19545,South,TEC-AC-8461,Technology,Accessories,Plantronics Headset,190.88,1,0.0,38.37
24,CA-2021-587115,30/04/2021,07/05/2021,Second Class,GW-69829,Customer-137,Consumer,United States,Lowell,Massachusetts,70901,East,TEC-PH-9702,Technology,Phones,Samsung Galaxy Tab,847.66,3,0.2,143.76
25,CA-2022-597732,20/02/2022,26/02/2022,Standard Class,TV-46347,Customer-785,Corporate,United States,Duluth,Minnesota,78327,Central,OFF-SU-8939,Office Supplies,Supplies,Faber-Castell Eraser,67.7,4,0.3,5.03
26,CA-2022-260227,09/07/2022,12/07/2022,Standard Class,BK-81121,Customer-478,Corporate,United States,Kansas City,Missouri,64496,Central,TEC-MA-2020,Technology,Machines,HP LaserJet,661.15,5,0.0,71.6
27,CA-2020-976325,01/03/2020,06/03/2020,Standard Class,TO-89069,Customer-226,Home Office,United States,Covington,Kentucky,73993,South,TEC-AC-4595,Technology,Accessories,Kensington Keyboard,378.24,2,0.0,79.05
28,CA-2020-513160,14/07/2020,19/07/2020,Standard Class,RC-66179,Customer-139,Consumer,United States,Jacksonville,Florida,70515,South,FUR-FU-3977,Furniture,Furnishings,Advantus Thumbtacks,276.66,4,0.5,28.61
29,CA-2019-120324,15/04/2019,19/04/2019,Standard Class,BY-39389,Customer-666,Consumer,United States,Nashville,Tennessee,18993,South,TEC-CO-1659,Technology,Copiers,Xerox WorkCentre,3894.93,3,0.0,616.14
30,CA-2019-275939,07/03/2019,10/03/2019,Standard Class,ZS-31465,Customer-319,Corporate,United States,Newark,New Jersey,24168,East,TEC-CO-1420,Technology,Copiers,HP Officejet,954.65,2,0.15,216.41
31,CA-2020-934904,02/10/2020,08/10/2020,Same Day,UJ-66148,Customer-678,Consumer,United States,Montgomery,Alabama,58571,South,OFF-AR-2129,Office Supplies,Art,Sanford Pencil,47.35,3,0.15,7.6
32,CA-2021-383201,04/11/2021,11/11/2021,Standard Class,XU-70931,Customer-447,Corporate,United States,San Antonio,Texas,87656,Central,TEC-MA-5397,Technology,Machines,Canon PIXMA,699.18,3,0.15,116.45
33,CA-2020-472060,24/10/2020,27/10/2020,Standard Class,IW-46211,Customer-570,Consumer,United States,Gresham,Oregon,11330,West,FUR-ST-9464,Furniture,Storage,3M Corkboard,108.98,1,0.0,8.58
34,CA-2020-355123,29/01/2020,31/01/2020,Standard Class,PM-79588,Customer-353,Consumer,United States,Lowell,Massachusetts,65771,East,OFF-LA-6419,Office Supplies,Labels,Maco Labels,10.86,2,0.0,0.87
35,CA-2020-326895,23/12/2020,30/12/2020,Standard Class,HP-78765,Customer-612,Consumer,United States,Knoxville,Tennessee,47093,South,TEC-CO-2647,Technology,Computers,HP EliteBook,1068.77,1,0.15,158.73
36,CA-2020-768854,04/02/2020,08/02/2020,Standard Class,MW-85243,Customer-292,Consumer,United States,Norfolk,Virginia,71524,East,OFF-ST-8843,Office Supplies,Storage,Fellowes Storage Drawer,29.81,1,0.0,3.71
37,CA-2021-950544,23/06/2021,27/06/2021,Standard Class,HZ-25525,Customer-572,Home Office,United States,Albany,New York,64548,East,FUR-CH-4697,Furniture,Chairs,Sauder Chair,820.71,2,0.15,86.32
38,CA-2021-317881,08/12/2021,13/12/2021,Standard Class,GC-41439,Customer-178,Home Office,United States,Huntsville,Alabama,82350,South,OFF-AP-2229,Office Supplies,Appliances,Cuisinart Coffeemaker,279.0,2,0.15,54.34
39,CA-2019-926097,19/11/2019,21/11/2019,Standard Class,PU-35928,Customer-436,Consumer,United States,Tuscaloosa,Alabama,25043,South,TEC-MA-9922,Technology,Machines,HP LaserJet,718.11,3,0.15,116.61
40,CA-2020-822131,07/04/2020,14/04/2020,Standard Class,KH-80776,Customer-506,Consumer,United States,Norfolk,Virginia,67377,East,TEC-MA-2317,Technology,Machines,Brother Printer,983.04,3,0.0,81.04
41,CA-2022-704238,11/05/2022,13/05/2022,Second Class,TM-95394,Customer-453,Corporate,United States,Southaven,Mississippi,46458,South,TEC-CO-3973,Technology,Computers,Microsoft Surface,736.42,2,0.15,156.23
42,CA-2022-953085,15/04/2022,20/04/2022,Standard Class,AC-43082,Customer-332,Consumer,United States,Jacksonville,Florida,25194,South,TEC-PH-7622,Technology,Phones,Apple iPhone,685.57,1,0.0,133.36
43,CA-2021-559398,21/11/2021,23/11/2021,Standard Class,MA-92578,Customer-624,Consumer,United States,Birmingham,Alabama,41365,South,TEC-CO-3594,Technology,Copiers,Ricoh Aficio,1469.53,3,0.1,356.75
